Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"TRBV21-1"	chr7	142636923	142637384	+	462	2	2	5	0	1	2
"TRBV22-1"	chr7	142641745	142642196	+	452	7	5	2	5	2	4
"TRBV23-1"	chr7	142645960	142646467	+	508	3	1	0	1	0	1
"TRBV24-1"	chr7	142656700	142657213	+	514	8	6	9	8	3	6
"MTRNR2L6"	chr7	142666271	142667718	+	1448	13	12	14	9	6	7
"TRBV25-1"	chr7	142670739	142671244	+	506	12	6	10	12	6	4
"TRBVA"	chr7	142681414	142681869	+	456	11	10	6	10	8	5
"TRBV26"	chr7	142695698	142696183	+	486	6	4	3	8	9	6
"TRBVB"	chr7	142711383	142711924	+	542	8	0	1	1	3	1
"TRBV27"	chr7	142715345	142715861	+	517	8	10	5	9	7	7
"TRBV28"	chr7	142720659	142721160	+	502	1	3	3	3	7	1
"PGBD4P1"	chr7	142722357	142722764	+	408	2	4	0	3	1	1
"TRBV29-1"	chr7	142740205	142740894	+	690	14	7	7	4	8	7
"PRSS1"	chr7	142749467	142753076	+	3610	71	49	49	50	58	23
"PRSS2"	chr7	142760397	142774564	+	14168	220	130	129	149	143	88
"PRSS3P1"	chr7	142760414	142763943	+	3530	59	40	38	47	36	25
"WBP1LP1"	chr7	142778641	142779537	-	897	15	11	10	9	16	8
"TRBD1"	chr7	142786212	142786224	+	13	0	1	0	1	0	0
"TRBJ1-1"	chr7	142786879	142786927	+	49	3	0	2	0	0	0
"TRBJ1-2"	chr7	142787016	142787064	+	49	0	1	0	0	0	0
"TRBJ1-3"	chr7	142787629	142787679	+	51	1	0	0	0	0	0
"TRBJ1-4"	chr7	142788224	142788275	+	52	1	1	0	1	0	0
"TRBJ1-5"	chr7	142788497	142788547	+	51	2	0	1	1	0	0
"TRBJ1-6"	chr7	142788987	142789040	+	54	0	0	1	0	0	0
"TRBC1"	chr7	142791693	142793368	+	1676	34	28	22	25	16	19
"TRBJ2-1"	chr7	142796364	142796414	+	51	0	0	1	3	1	0
"TRBJ2-2"	chr7	142796559	142796610	+	52	0	0	1	0	0	0
"TRBJ2-2P"	chr7	142796696	142796742	+	47	0	0	0	0	1	0
"TRBJ2-3"	chr7	142796846	142796895	+	50	0	0	0	0	0	1
"TRBJ2-4"	chr7	142796997	142797047	+	51	0	0	0	0	0	0
"TRBJ2-5"	chr7	142797118	142797166	+	49	1	0	0	0	0	0
"TRBJ2-6"	chr7	142797238	142797291	+	54	0	1	0	0	0	0
"TRBJ2-7"	chr7	142797455	142797502	+	48	0	0	1	0	0	0
"TRBC2"	chr7	142801040	142802748	+	1709	27	18	14	17	14	11
"TRBV30"	chr7	142812585	142813399	-	815	7	1	2	0	3	3
"EPHB6"	chr7	142855060	142871094	+	16035	36	22	20	19	18	13
"TRPV6"	chr7	142871202	142885762	-	14561	43	20	31	21	22	18
"RP11-114L10.2"	chr7	142875835	142892743	+	16909	85	44	46	38	51	26
"TRPV5"	chr7	142908100	142933808	-	25709	298	226	204	222	223	173
"C7orf34"	chr7	142939342	142940868	+	1527	8	4	11	4	9	3
"KEL"	chr7	142941113	142962681	-	21569	264	194	152	169	174	145
"OR9A2"	chr7	143026157	143027195	-	1039	29	14	24	19	20	18
"OR9P1P"	chr7	143047212	143047580	-	369	7	5	8	8	8	4
"OR6V1"	chr7	143052319	143053347	+	1029	21	13	9	13	15	6
"OR6W1P"	chr7	143062329	143063585	-	1257	42	27	24	30	16	20
"PIP"	chr7	143132076	143139746	+	7671	168	90	108	107	122	81
"TAS2R39"	chr7	143183418	143184435	+	1018	32	24	21	26	32	19
"RP11-556I13.2"	chr7	143220467	143222267	-	1801	68	53	48	37	46	32
"TAS2R40"	chr7	143222036	143223079	+	1044	45	33	30	23	34	19
"RP11-556I13.1"	chr7	143224041	143224234	-	194	2	1	1	0	0	0
"GSTK1"	chr7	143244092	143270854	+	26763	297	189	219	169	217	163
"AC073342.12"	chr7	143255263	143287380	-	32118	372	210	243	173	248	175
"TMEM139"	chr7	143279956	143288048	+	8093	116	64	74	65	62	56
"CASP2"	chr7	143288214	143307696	+	19483	80	43	38	32	48	18
"RN7SL535P"	chr7	143290614	143290910	+	297	1	2	1	0	0	0
"RN7SL481P"	chr7	143298515	143298814	+	300	1	0	0	1	1	0
"HINT1P1"	chr7	143312683	143313061	-	379	7	5	3	1	3	3
"CLCN1"	chr7	143316125	143352083	+	35959	769	439	500	465	560	398
"FAM131B"	chr7	143353399	143362770	-	9372	209	116	125	148	136	112
"RP11-563K23.1"	chr7	143363898	143364229	+	332	1	2	0	0	2	0
"AC093673.5"	chr7	143379691	143380495	-	805	4	0	3	2	1	0
"ZYX"	chr7	143381079	143391111	+	10033	66	26	46	27	27	17
"MIR6892"	chr7	143382685	143382800	+	116	1	0	0	0	0	1
"EPHA1"	chr7	143390288	143408892	-	18605	171	74	95	67	89	61
"EPHA1-AS1"	chr7	143407812	143523449	+	115638	2476	1823	1669	2002	1831	1332
"TAS2R62P"	chr7	143437033	143437973	+	941	38	22	20	24	25	17
"TAS2R60"	chr7	143443452	143444409	+	958	49	32	47	48	30	32
"TAS2R41"	chr7	143477872	143478796	+	925	19	10	13	9	13	10
"OR2R1P"	chr7	143488488	143489402	-	915	31	16	14	17	19	9
"OR10AC1"	chr7	143510932	143511911	-	980	42	24	23	18	12	14
"AC073264.10"	chr7	143532748	143533164	-	417	14	12	9	8	14	6
"PAICSP5"	chr7	143545185	143546735	-	1551	33	31	29	31	34	32
"CTAGE15"	chr7	143571800	143574387	+	2588	64	46	41	51	53	32
"RNU6-162P"	chr7	143574745	143574848	+	104	1	1	0	0	2	1
"AC073264.6"	chr7	143578906	143579072	+	167	0	6	3	5	2	1
"TCAF1P1"	chr7	143598039	143604839	+	6801	197	142	118	162	139	125
"TCAF2"	chr7	143620949	143730409	+	109461	552	255	342	306	322	235
"RP11-298A10.2"	chr7	143623775	143624398	-	624	14	5	6	3	5	4
"RP11-298A10.1"	chr7	143639229	143647646	-	8418	105	39	69	63	61	40
"RNU6-267P"	chr7	143754627	143754730	-	104	2	0	1	4	2	0
"CTAGE6"	chr7	143755088	143757696	-	2609	79	47	53	49	46	44
"RP11-61L23.2"	chr7	143761789	143836933	-	75145	1012	696	681	735	717	569
"PAICSP6"	chr7	143782666	143784284	+	1619	35	27	27	36	38	23
"RP11-307I2.1"	chr7	143796294	143796720	+	427	21	8	14	15	14	9
"TCAF2P1"	chr7	143800731	143817973	+	17243	170	128	126	128	123	108
"TCAF1"	chr7	143851374	143902198	-	50825	725	530	431	552	505	419
"OR2F2"	chr7	143935165	143936279	+	1115	49	51	24	60	41	38
"RP4-669B10.3"	chr7	143954843	143997312	+	42470	911	695	539	818	635	588
"OR2F1"	chr7	143959926	143961015	+	1090	66	38	34	73	45	41
"RP4-669B10.6"	chr7	143979120	143980225	-	1106	21	13	12	20	18	17
"OR2Q1P"	chr7	143980904	143981820	+	917	52	40	34	66	36	27
"SLC16A1P1"	chr7	143985141	143986651	+	1511	67	62	41	74	52	47
"OR6B1"	chr7	144003928	144004983	+	1056	53	52	37	62	54	37
"OR2A5"	chr7	144050367	144051380	+	1014	57	35	35	54	54	29
"OR2A25"	chr7	144074181	144075195	+	1015	62	41	33	52	31	39
"OR2A41P"	chr7	144077720	144077825	+	106	8	1	4	2	4	3
"OR2A12"	chr7	144095047	144096093	+	1047	50	39	41	51	37	35
"OR2A2"	chr7	144109513	144110564	+	1052	54	26	29	45	43	31
"OR2A15P"	chr7	144118460	144119360	-	901	53	33	39	36	29	29
"OR2A14"	chr7	144129057	144130069	+	1013	54	28	38	38	41	24
"OR2A13P"	chr7	144142008	144142938	+	931	35	25	34	37	31	22
"OR2A3P"	chr7	144157225	144158178	+	954	44	33	36	25	29	23
"OR2AO1P"	chr7	144176739	144177142	+	404	7	3	3	4	8	5
"CTAGE4"	chr7	144183465	144186053	+	2589	79	53	51	61	43	27
"ARHGEF35"	chr7	144186082	144195655	-	9574	128	57	62	46	68	33
"RP4-545C24.1"	chr7	144194857	144280547	+	85691	1895	1226	1146	1270	1311	1036
"OR2A42"	chr7	144231910	144232843	-	934	37	31	22	31	21	21
"OR2A20P"	chr7	144250044	144252957	-	2914	105	74	68	93	69	70
"OR2A1-AS1"	chr7	144251263	144356181	-	104919	2117	1391	1320	1414	1464	1084
"OR2A7"	chr7	144258606	144259722	-	1117	59	42	31	45	37	29
"CTAGE8"	chr7	144266700	144269288	-	2589	77	43	44	45	51	32
"ARHGEF34P"	chr7	144272444	144286966	-	14523	296	186	176	211	165	148
"OR2A9P"	chr7	144294479	144300934	+	6456	133	121	94	106	107	66
"OR2A1"	chr7	144318124	144319057	+	934	44	38	34	29	35	25
"ARHGEF5"	chr7	144355287	144380632	+	25346	424	257	281	306	246	220
"NOBOX"	chr7	144397239	144410227	-	12989	197	126	146	120	137	96
"RP4-545C24.5"	chr7	144434825	144435314	-	490	25	9	10	15	15	13
"RNU6ATAC40P"	chr7	144451680	144451817	+	138	6	5	2	4	3	3
"TPK1"	chr7	144451940	144836395	-	384456	6385	4565	3967	4985	4886	3488
"EEF1A1P10"	chr7	144647185	144648575	-	1391	72	66	39	70	49	39
"RN7SKP174"	chr7	144849754	144850084	-	331	9	7	9	6	10	7
"EI24P4"	chr7	145005057	145006135	+	1079	53	41	37	46	40	33
"AC073310.4"	chr7	145009960	145010993	+	1034	43	26	17	42	24	25
"RPL7P59"	chr7	145039998	145040941	-	944	30	29	14	18	28	15
"AC004911.2"	chr7	145269513	145270384	+	872	26	21	5	12	16	3
"AC073055.2"	chr7	145583196	145584817	+	1622	37	25	15	34	31	21
"AC006007.1"	chr7	145675881	145681369	-	5489	78	67	58	91	62	47
"RP11-13M3.1"	chr7	146050061	146050366	+	306	4	2	1	0	5	1
"CNTNAP2"	chr7	146116001	148420998	+	2304998	42074	35436	27012	42877	30538	25072
"AC006004.1"	chr7	147080933	147097609	-	16677	339	282	241	349	244	196
"DUTP3"	chr7	147146341	147146756	+	416	7	14	12	9	3	9
"RANP2"	chr7	147167343	147167572	+	230	11	8	4	18	8	8
"MIR548F4"	chr7	147378016	147378121	-	106	0	0	0	0	1	0
"AC005518.2"	chr7	147671710	147673143	+	1434	18	23	12	19	24	5
"RP4-777G9.1"	chr7	147704293	147704575	-	283	9	8	5	20	12	10
"RNU6-1184P"	chr7	147831769	147831877	+	109	4	2	1	7	3	5
"RNA5SP249"	chr7	147849883	147849982	+	100	7	7	6	14	9	4
"RN7SL456P"	chr7	147940006	147940301	+	296	16	10	7	16	10	6
"RN7SL72P"	chr7	148438308	148438577	+	270	6	1	5	1	1	0
"RP11-163I18.2"	chr7	148445785	148446299	+	515	3	8	7	15	7	2
"RP5-958B11.2"	chr7	148473598	148503458	-	29861	472	256	259	292	279	156
"RP5-958B11.1"	chr7	148543676	148572177	-	28502	642	413	405	506	460	318
"AC005229.5"	chr7	148580400	148580799	+	400	21	8	11	12	6	6
"C7orf33"	chr7	148590564	148615860	+	25297	598	329	379	369	364	248
"AC005229.7"	chr7	148637178	148637587	+	410	17	7	9	6	8	8
"RP5-1136G13.1"	chr7	148649546	148650240	+	695	24	21	12	15	21	13
"RP5-1136G13.2"	chr7	148696466	148698664	-	2199	28	8	16	5	12	4
"CUL1"	chr7	148697913	148801036	+	103124	813	438	470	435	397	309
"EZH2"	chr7	148807382	148884321	-	76940	510	268	276	262	256	182
"RNU7-20P"	chr7	148821011	148821073	+	63	1	0	0	0	0	0
"RN7SL569P"	chr7	148890225	148890513	+	289	16	4	7	5	6	2
"RNY4"	chr7	148963314	148963410	+	97	1	0	0	0	1	0
"RNY3"	chr7	148983754	148983856	+	103	0	0	1	0	1	1
"RNY1"	chr7	148987135	148987248	-	114	2	0	0	1	0	1
"GHET1"	chr7	148987526	148989432	+	1907	14	7	9	4	8	5
"PDIA4"	chr7	149003061	149028641	-	25581	167	60	74	71	72	52
"RNU6-650P"	chr7	149033056	149033167	+	112	0	4	1	0	0	2
"COX6B1P1"	chr7	149053960	149054173	+	214	14	7	7	5	5	5
"ZNF786"	chr7	149069642	149090782	-	21141	181	102	96	92	85	59
"ZNF425"	chr7	149102783	149126346	-	23564	267	146	162	143	153	120
"RN7SL521P"	chr7	149125689	149125986	-	298	1	1	0	0	1	0
"ZNF398"	chr7	149126415	149182802	+	56388	455	235	255	221	241	166
"RP4-800G7.1"	chr7	149191042	149191223	-	182	2	1	1	0	2	4
"ZNF282"	chr7	149195484	149226248	+	30765	184	100	99	91	116	91
"ZNF212"	chr7	149239650	149255609	+	15960	149	63	64	76	67	38
"ZNF783"	chr7	149262170	149297302	+	35133	319	185	180	157	149	126
"RP4-800G7.3"	chr7	149275618	149277992	-	2375	36	14	21	21	15	13
"RP4-800G7.2"	chr7	149285280	149297312	+	12033	112	76	75	51	57	33
"AC004941.5"	chr7	149321864	149322092	-	229	7	0	1	2	4	2
"NPM1P12"	chr7	149334023	149334857	+	835	22	16	15	17	12	11
"AC004941.3"	chr7	149398203	149401456	+	3254	46	38	33	27	21	19
"RP11-143I21.1"	chr7	149422674	149424890	+	2217	11	4	3	1	0	2
"ZNF777"	chr7	149431362	149461123	-	29762	217	108	119	107	83	87
"ZNF746"	chr7	149472793	149497817	-	25025	148	111	94	106	94	70
"ZNF767P"	chr7	149547153	149624752	-	77600	804	388	459	455	487	362
"KRBA1"	chr7	149714780	149734575	+	19796	100	31	48	35	45	28
"ZNF467"	chr7	149764181	149773479	-	9299	60	37	29	22	36	24
"SSPO"	chr7	149776041	149833979	+	57939	415	191	248	215	203	120
"ZNF862"	chr7	149838366	149867479	+	29114	256	158	164	123	116	114
"RP4-751H13.5"	chr7	149851571	149852170	+	600	1	0	1	0	0	1
"RP4-751H13.7"	chr7	149858399	149862492	-	4094	56	34	30	31	22	32
"ATP6V0E2-AS1"	chr7	149867696	149880610	-	12915	70	34	37	43	40	18
"ATP6V0E2"	chr7	149872967	149880698	+	7732	52	27	22	29	30	13
"RP11-445N20.3"	chr7	149881358	149881580	-	223	3	0	1	1	1	0
"RP11-445N20.2"	chr7	149881476	149882105	+	630	5	4	2	1	1	1
"RP11-728K20.3"	chr7	149890738	149891416	+	679	4	0	5	5	3	3
"RP11-728K20.1"	chr7	149891190	149909704	-	18515	259	146	176	152	171	107
"RP11-728K20.2"	chr7	150000751	150005124	+	4374	137	117	86	151	91	56
"RP11-545G3.1"	chr7	150040520	150076655	+	36136	530	314	329	384	396	244
"RP11-545G3.2"	chr7	150047608	150047854	-	247	0	0	0	0	0	0
"ACTR3C"	chr7	150243915	150323725	-	79811	904	551	508	546	539	421
"LRRC61"	chr7	150322638	150338150	+	15513	132	47	58	39	58	24
"ZBED6CL"	chr7	150329788	150332721	+	2934	21	11	13	7	12	5
"RARRES2"	chr7	150338316	150341674	-	3359	25	8	12	10	11	6
"RP4-584D14.7"	chr7	150341770	150342607	+	838	16	17	12	12	12	8
"RP4-584D14.5"	chr7	150363776	150372590	-	8815	40	24	25	30	26	16
"REPIN1"	chr7	150368188	150374044	+	5857	14	7	5	1	3	3
"RP11-511P7.7"	chr7	150368789	150396915	+	28127	200	100	93	87	109	66
"RP11-511P7.6"	chr7	150379328	150410597	+	31270	259	116	131	102	155	94
"ZNF775"	chr7	150379334	150398631	+	19298	166	82	87	74	101	59
"RP4-584D14.6"	chr7	150379853	150383885	-	4033	35	12	14	12	21	13
"LINC00996"	chr7	150433653	150448140	+	14488	282	214	171	227	198	157
"GIMAP8"	chr7	150450629	150479392	+	28764	714	490	454	611	532	360
"RP11-511P7.4"	chr7	150484060	150485135	-	1076	26	15	15	14	15	12
"STRADBP1"	chr7	150512558	150513839	-	1282	50	21	23	28	29	19
"GIMAP7"	chr7	150514829	150521073	+	6245	81	53	51	78	49	48
"ALDH7A1P3"	chr7	150541753	150542098	-	346	17	8	8	8	8	7
"GIMAP4"	chr7	150567276	150573955	+	6680	227	153	144	163	143	114
"RP11-632K21.7"	chr7	150603560	150604644	-	1085	33	19	13	28	25	23
"RP11-632K21.3"	chr7	150614060	150614764	-	705	20	20	26	27	28	11
"GIMAP6"	chr7	150625374	150632648	-	7275	306	207	197	237	173	134
"RP11-632K21.6"	chr7	150676832	150677918	-	1087	33	22	23	24	25	14
"GIMAP2"	chr7	150685696	150693641	+	7946	205	144	135	165	140	103
"GIMAP1"	chr7	150716556	150724284	+	7729	162	103	90	80	85	66
"GIMAP1-GIMAP5"	chr7	150716667	150743646	+	26980	693	467	432	533	404	311
"GIMAP5"	chr7	150722252	150750033	+	27782	682	473	451	557	406	307
"GIMAP3P"	chr7	150746892	150747728	-	837	13	9	14	7	5	5
"BET1P1"	chr7	150749735	150750094	+	360	6	3	4	3	2	5
"TMEM176B"	chr7	150791284	150801360	-	10077	220	122	113	142	142	72
"TMEM176A"	chr7	150800402	150805120	+	4719	121	72	72	72	73	54
"AOC1"	chr7	150824626	150861504	+	36879	862	487	571	576	573	352
"KCNH2"	chr7	150944960	150978315	-	33356	363	121	215	151	190	102
"NOS3"	chr7	150990994	151014588	+	23595	278	112	167	122	136	86
"ATG9B"	chr7	151012208	151024499	-	12292	112	35	61	47	57	43
"ABCB8"	chr7	151028421	151047782	+	19362	91	47	46	47	35	30
"RP11-148K1.10"	chr7	151028780	151029754	-	975	5	6	1	2	0	1
"ASIC3"	chr7	151048291	151052756	+	4466	36	22	23	16	16	11
"CDK5"	chr7	151053811	151058530	-	4720	27	20	13	14	11	14
"SLC4A2"	chr7	151057209	151076527	+	19319	82	27	23	24	25	17
"RP11-148K1.12"	chr7	151074741	151076530	-	1790	5	2	0	0	0	2
"FASTK"	chr7	151076592	151080866	-	4275	9	6	5	3	2	3
"TMUB1"	chr7	151081079	151083546	-	2468	0	2	1	1	1	0
"AGAP3"	chr7	151085830	151144436	+	58607	245	99	95	103	81	79
"GBX1"	chr7	151148588	151174745	-	26158	378	197	196	164	201	142
"ASB10"	chr7	151175697	151187832	-	12136	208	78	120	109	99	65
"IQCA1L"	chr7	151190872	151205496	-	14625	251	135	157	150	132	98
"ABCF2"	chr7	151207836	151227230	-	19395	153	67	98	97	81	60
"CHPF2"	chr7	151232488	151238827	+	6340	32	10	10	14	15	5
"MIR671"	chr7	151238420	151238538	+	119	1	0	0	0	1	0
"SMARCD3"	chr7	151238763	151277896	-	39134	459	281	274	240	268	177
"RP4-548D19.3"	chr7	151240398	151240972	+	575	2	3	4	1	2	3
"RP5-1070G24.2"	chr7	151249324	151254390	+	5067	29	15	10	10	10	3
"NUB1"	chr7	151341698	151378449	+	36752	176	76	98	73	78	65
"WDR86"	chr7	151375908	151410727	-	34820	358	164	202	162	175	141
"WDR86-AS1"	chr7	151409160	151413354	+	4195	43	31	41	20	25	13
"RP4-555L14.4"	chr7	151427682	151439124	+	11443	94	45	51	44	45	29
"CRYGN"	chr7	151428834	151440813	-	11980	101	45	57	54	49	29
"MIR3907"	chr7	151433488	151433639	-	152	2	1	0	0	1	0
"RN7SL76P"	chr7	151464649	151464938	-	290	7	2	3	2	0	1
"RHEB"	chr7	151466011	151520120	-	54110	395	190	223	186	187	148
"ETF1P2"	chr7	151501877	151503463	+	1587	21	15	25	12	18	7
"PRKAG2"	chr7	151556110	151877125	-	321016	3773	1981	2308	2163	2280	1559
"RP13-452N2.1"	chr7	151806489	151810820	+	4332	56	33	40	32	54	24
"PRKAG2-AS1"	chr7	151877041	151879223	+	2183	8	7	10	2	6	4
"RNU6-604P"	chr7	151900274	151900374	+	101	3	0	0	0	2	0
"RP11-796I2.1"	chr7	151950385	151954985	-	4601	119	94	94	107	96	78
"GALNTL5"	chr7	151956378	152019934	+	63557	1324	835	745	926	880	684
"GALNT11"	chr7	152025673	152122347	+	96675	1014	597	605	599	575	489
"RP5-981O7.2"	chr7	152120000	152121717	-	1718	14	9	7	7	6	4
"YBX1P4"	chr7	152128878	152129686	+	809	2	1	1	2	4	1
"KMT2C"	chr7	152134921	152436005	-	301085	3711	2662	2283	2950	2362	1806
"RP11-208G20.3"	chr7	152366762	152367015	+	254	1	0	1	0	1	1
"RP11-208G20.2"	chr7	152367170	152367260	+	91	0	1	0	0	1	0
"SEPT7P6"	chr7	152367518	152368661	+	1144	5	2	6	1	1	1
"FABP5P3"	chr7	152436894	152443187	+	6294	48	38	39	43	35	27
"CCT8L1P"	chr7	152445476	152447150	+	1675	32	16	20	13	21	8
"LINC01003"	chr7	152463785	152465549	+	1765	0	1	1	1	1	1
"AC104843.4"	chr7	152590640	152590941	-	302	5	4	1	6	1	3
"RNA5SP250"	chr7	152592972	152593091	-	120	3	2	0	0	0	0
"AC104843.3"	chr7	152602212	152602892	-	681	3	5	4	4	5	3
"XRCC2"	chr7	152644778	152676165	-	31388	230	114	122	128	116	87
"ATP5F1P3"	chr7	152749078	152749735	+	658	4	13	7	4	4	3
"RN7SL845P"	chr7	152757661	152757951	+	291	8	1	2	3	4	4
"ACTR3B"	chr7	152759748	152855378	+	95631	706	392	422	439	429	308
"AC079809.2"	chr7	153144312	153144588	-	277	10	5	6	4	4	4
"LINC01287"	chr7	153399919	153413963	-	14045	338	230	201	315	222	158
"PAXBP1P1"	chr7	153449428	153449875	+	448	4	4	4	9	12	10
"DPP6"	chr7	153887096	154894285	+	1007190	17062	12799	11014	15676	11290	8493
"AC005588.2"	chr7	153968664	153968826	-	163	9	8	6	4	2	3
"RP5-1048B16.1"	chr7	154026286	154038604	-	12319	169	111	122	161	135	90
"AC006019.3"	chr7	154055584	154059561	-	3978	107	83	90	104	71	50
"AC006019.4"	chr7	154092200	154096043	-	3844	82	65	44	81	56	40
"RP11-476H24.1"	chr7	154838387	154865483	-	27097	402	239	238	298	230	143
"PAXIP1-AS2"	chr7	154928497	154949908	+	21412	228	129	109	131	119	96
"PAXIP1"	chr7	154943686	155003084	-	59399	378	194	195	192	194	149
"RP11-5C23.1"	chr7	154951225	154952188	+	964	1	1	4	6	5	3
"RP11-5C23.2"	chr7	154956428	154957107	+	680	10	7	2	5	7	2
"PAXIP1-AS1"	chr7	155003447	155005703	+	2257	1	5	5	1	7	1
"HTR5A-AS1"	chr7	155067066	155071557	-	4492	93	74	60	83	78	57
"HTR5A"	chr7	155070323	155085749	+	15427	313	239	209	329	248	182
"RP11-5C23.4"	chr7	155074598	155074748	+	151	5	0	6	4	2	2
"RP11-279O22.1"	chr7	155106061	155106400	-	340	12	6	6	4	6	1
"AC092628.3"	chr7	155106399	155106651	+	253	12	4	8	5	3	3
"RN7SKP280"	chr7	155181880	155182184	+	305	10	7	4	8	2	9
"AC099552.4"	chr7	155196562	155198455	-	1894	26	24	19	23	19	22
"AC099552.3"	chr7	155204146	155205189	+	1044	11	3	8	1	2	5
"RP11-1430O6.1"	chr7	155222902	155223851	+	950	14	5	4	2	4	2
"AC099552.2"	chr7	155267298	155268052	+	755	18	9	11	7	10	9
"AC144652.1"	chr7	155295917	155297541	-	1625	11	4	4	7	3	3
"INSIG1"	chr7	155297775	155310235	+	12461	38	21	26	16	16	10
"BLACE"	chr7	155356984	155367934	-	10951	77	37	41	41	39	24
"AC008060.7"	chr7	155382075	155396356	+	14282	140	63	81	65	78	44
"RP5-912I13.1"	chr7	155399921	155401782	+	1862	15	6	4	4	5	1
"AC008060.8"	chr7	155421205	155457099	-	35895	408	213	250	196	224	137
"EN2"	chr7	155458128	155464831	+	6704	52	14	25	17	22	25
"CNPY1"	chr7	155474205	155555450	-	81246	974	529	607	592	540	351
"RP5-912I13.2"	chr7	155474255	155644406	-	170152	2087	1068	1262	1242	1132	761
"AC008060.5"	chr7	155510282	155518623	+	8342	111	54	67	65	52	42
"AC009403.2"	chr7	155611230	155645205	-	33976	446	256	266	319	244	210
"RBM33"	chr7	155644450	155781485	+	137036	909	476	450	477	435	328
"SHH"	chr7	155799985	155812273	-	12289	40	19	28	21	26	14
"AC021218.2"	chr7	155962631	155966343	+	3713	55	32	38	19	42	25
"RP11-362B23.1"	chr7	156263546	156263802	+	257	7	3	2	5	4	2
"AC073133.2"	chr7	156432522	156435833	-	3312	83	49	60	44	48	46
"AC073133.1"	chr7	156437788	156445588	-	7801	107	52	53	64	64	33
"LINC01006"	chr7	156472195	156640654	-	168460	2414	1434	1505	1639	1589	1102
"LINC00244"	chr7	156540490	156541103	+	614	8	8	4	8	6	1
"AC005534.6"	chr7	156633354	156633787	+	434	9	9	9	8	5	4
"RNF32"	chr7	156640280	156677130	+	36851	334	235	187	223	204	169
"AC005534.8"	chr7	156654184	156657693	-	3510	21	18	17	36	20	11
"LMBR1"	chr7	156668945	156893230	-	224286	1877	1169	1134	1239	1139	845
"RNU4-31P"	chr7	156872077	156872218	+	142	0	0	0	1	0	0
"RP5-1121A15.3"	chr7	156944720	156945645	+	926	3	4	4	1	5	1
"NOM1"	chr7	156949722	156973182	+	23461	90	42	32	47	23	22
"MNX1"	chr7	156994050	157010651	-	16602	93	51	65	49	47	43
"MNX1-AS2"	chr7	157006306	157007132	+	827	4	2	0	0	1	2
"MNX1-AS1"	chr7	157010804	157016426	+	5623	23	14	13	17	17	7
"RP4-639J15.1"	chr7	157057708	157058514	-	807	18	5	7	7	6	4
"RP4-639J15.2"	chr7	157087954	157088543	-	590	6	3	5	5	4	4
"RP4-639J15.3"	chr7	157109979	157111072	+	1094	21	17	23	11	20	16
"UBE3C"	chr7	157138912	157269372	+	130461	655	293	366	333	304	228
"RPS27AP12"	chr7	157192367	157192832	+	466	9	0	1	4	2	5
"RP4-814D15.1"	chr7	157197599	157198511	-	913	7	1	3	4	2	4
"RP5-1142J19.2"	chr7	157263021	157263229	-	209	2	0	1	2	1	1
"RP5-1142J19.1"	chr7	157281535	157282686	-	1152	2	2	0	2	0	0
"DNAJB6"	chr7	157335380	157417439	+	82060	377	177	213	197	174	100
"AC006372.4"	chr7	157466230	157499716	+	33487	489	241	293	272	265	208
"AC006372.5"	chr7	157501321	157503577	+	2257	21	17	12	15	11	5
"AC006372.6"	chr7	157513293	157516841	+	3549	25	7	6	12	8	2
"RP11-331D5.2"	chr7	157525782	157527325	+	1544	9	5	3	2	4	4
"PTPRN2"	chr7	157539055	158587788	-	1048734	13797	8907	8809	11440	8534	5810
"MIR153-2"	chr7	157574335	157574422	-	88	8	0	1	1	0	1
"AC005481.5"	chr7	157614022	157618765	+	4744	32	13	21	13	16	3
"AC006003.3"	chr7	157739009	157740456	-	1448	12	4	3	7	4	1
"AC011899.9"	chr7	157854528	157866092	+	11565	69	26	53	25	31	11
"RP11-452C13.1"	chr7	157868537	157869154	+	618	16	10	4	7	5	6
"AC011899.10"	chr7	158027372	158031128	+	3757	37	13	23	24	20	11
"MIR595"	chr7	158532717	158532813	-	97	1	0	0	0	0	1
"AC078942.1"	chr7	158537494	158539879	+	2386	19	13	16	17	10	8
"LINC01022"	chr7	158590628	158591120	+	493	13	7	7	5	18	9
"MIR5707"	chr7	158591615	158591696	+	82	2	3	3	2	2	1
"THAP5P1"	chr7	158623187	158623449	-	263	2	3	1	3	3	1
"NCAPG2"	chr7	158631310	158704829	-	73520	441	231	242	274	222	173
"AC019084.7"	chr7	158719729	158720161	+	433	10	3	2	1	5	4
"ESYT2"	chr7	158730994	158830253	-	99260	477	235	243	266	233	145
"WDR60"	chr7	158856577	158956747	+	100171	845	463	465	518	437	366
"LINC00689"	chr7	159006521	159030195	+	23675	175	94	86	109	84	74
"VIPR2"	chr7	159028174	159144957	-	116784	1194	637	733	808	676	450
